"Designator","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer","LCSC Part","Description"
"C1,C2,C6,C32","4","10uF","","","","easyeda2kicad:C0603","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579707107916242944-C19702.pdf?response-content-disposition=attachment%3B%20filename%3DC19702.pdf%3B%20filename%2A%3DUTF-8%27%27C19702.pdf&x-oss-date=20260907T151813Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=32e3d7fb7942675d617a412da8ba827d73579b091af1ea1e08e8475f5bd09556","CL10A106KP8NNNC","Samsung Electro-Mechanics","C19702","Unpolarized capacitor, small symbol"
"C3,C4,C5","3","4.7uF","","","","easyeda2kicad:C0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8588919214354124800-C77004.pdf?response-content-disposition=attachment%3B%20filename%3DC77004.pdf%3B%20filename%2A%3DUTF-8%27%27C77004.pdf&x-oss-date=20260907T152137Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=82aa17ed8b36500abc5d01fbd6a4584014c205e0763638c6d8a62c5e89080734","GRM155R61A475KEAAD","Murata Electronics","C77004","Unpolarized capacitor, small symbol"
"C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31","23","0.1uF","","","","easyeda2kicad:C0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579707269992677376-C1525.pdf?response-content-disposition=attachment%3B%20filename%3DC1525.pdf%3B%20filename%2A%3DUTF-8%27%27C1525.pdf&x-oss-date=20260907T152356Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=b1a5c8f7e37413d089dc4e7b7e8fc4c33ce04507d3d7d702fd297b3dc60ad416","CL05B104KO5NNNC","Samsung Electro-Mechanics","C1525","Unpolarized capacitor, small symbol"
"C18,C19","2","15pF","","","","easyeda2kicad:C0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8755234992119263232-C106997.pdf?response-content-disposition=attachment%3B%20filename%3DC106997.pdf%3B%20filename%2A%3DUTF-8%27%27C106997.pdf&x-oss-date=20260907T152707Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=ff14d9e019d9178d4f0da47fa10ce7042f6dad3a051ffe8a14475170117e9970","CC0402JRNPO9BN150","YAGEO","C106997","Unpolarized capacitor, small symbol"
"D1,D2,D3,D4","4","SS54_C22452","","","","easyeda2kicad:SMA_L4.4-W2.8-LS5.4-R-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS54_C22452.html","SS54","MDD(辰达半导体)","C22452","SS54"
"H1,H2,H3,H4,J1,J2,J3,J4,J5,J6,J7,J8,J9,Motor1,Motor2,Motor3,Motor4,R7,TP1,TP2","20","10k,1N5819,DEBUG_CONN_PAD,GPIO28_Pad,GPIO29_Pad,GPIO[18-22],GPIO[23,24,27,28,29],MountingHole,Mtype_Select,Power_Pad,motor","DNP","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,MountingHole:MountingHole_2mm,TestPoint:TestPoint_Pad_D1.0mm","~","","","","Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes., script generated (kicad-library-utils/schlib/autogen/connector/),Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/),Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/),Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/),Mounting Hole without connection,Resistor, small symbol,test point"
"L2","1","AOTA-B201610S3R3-101-T","","","","easyeda2kicad:IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T","https://www.lcsc.com/datasheet/C42411119.pdf","AOTA-B201610S3R3-101-T","ABRACON","C42411119",""
"LED1,LED2","2","17-21SUYC/TR8","","","","easyeda2kicad:LED0805-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Yellow-light-0805-Highlighted_C2296.html","KT-0805黄灯","KENTO","C2296","0805"
"Q1,Q2,Q3,Q4","4","DMN2024UFDF-7","","","","easyeda2kicad:DFN2020MD-6_L2.0-W2.0-P0.65-BL","https://www.lcsc.com/datasheet/C5248840.pdf","DMN2024UFDF-7","DIODES(美台)","C5248840",""
"R1,R2","2","5.1k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579706035999215616-C25905.pdf?response-content-disposition=attachment%3B%20filename%3DC25905.pdf%3B%20filename%2A%3DUTF-8%27%27C25905.pdf&x-oss-date=20260907T153209Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=f19ae6d95eb20a210a2e5fd82e96d95aa9afcf112900d8270dd15b936057a3ba","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)","C25905","Resistor, small symbol"
