"Designator","Value","Package","MidX","MidY","Rotation","Layer"
"C1","10uF","C0603",152.034000,-98.619000,-90.000000,top
"C2","10uF","C0603",160.392000,-98.619000,-90.000000,top
"C3","4.7uF","C0402",147.080000,-112.700000,180.000000,top
"C4","4.7uF","C0402",148.959200,-110.591600,180.000000,top
"C5","4.7uF","C0402",151.129600,-112.176800,-90.000000,top
"C6","10uF","C0603",147.507200,-101.896800,90.000000,top
"C7","0.1uF","C0402",151.528800,-110.579200,0.000000,top
"C8","0.1uF","C0402",149.145600,-101.775200,-90.000000,top
"C9","0.1uF","C0402",150.348800,-101.749600,-90.000000,top
"C10","0.1uF","C0402",153.456800,-110.566400,180.000000,top
"C11","0.1uF","C0402",152.332800,-112.194400,90.000000,top
"C12","0.1uF","C0402",137.408000,-114.007200,90.000000,top
"C13","0.1uF","C0402",136.970400,-105.971200,0.000000,top
"C14","0.1uF","C0402",140.917785,-102.581785,-45.000000,top
"C15","0.1uF","C0402",142.070000,-114.618000,90.000000,top
"C16","0.1uF","C0402",143.370000,-114.618000,90.000000,top
"C17","0.1uF","C0402",144.670000,-114.618000,90.000000,top
"C18","15pF","C0402",137.478000,-107.550000,90.000000,top
"C19","15pF","C0402",133.408000,-112.280000,180.000000,top
"C20","0.1uF","C0402",125.286400,-74.066400,180.000000,top
"C21","0.1uF","C0402",162.260000,-74.800000,-90.000000,top
"C22","0.1uF","C0402",169.640800,-118.169600,180.000000,top
"C23","0.1uF","C0402",117.565600,-118.182400,0.000000,top
"C24","0.1uF","C0402",143.370400,-95.769600,0.000000,top
"C25","0.1uF","C0402",140.710400,-97.039200,-90.000000,top
"C26","0.1uF","C0402",149.184000,-95.976800,90.000000,top
"C27","0.1uF","C0402",147.522400,-95.616000,180.000000,top
"C28","0.1uF","C0402",139.328000,-100.093600,-90.000000,top
"C29","0.1uF","C0402",135.872000,-98.199200,90.000000,top
"C30","0.1uF","C0402",130.580000,-108.330000,0.000000,top
"C31","0.1uF","C0402",127.010000,-105.860000,-90.000000,top
"C32","10uF","C0603",125.430000,-107.540000,90.000000,top
"D1","SS54_C22452","SMA_L4.4-W2.8-LS5.4-R-RD",130.448400,-78.826400,90.000000,top
"D2","SS54_C22452","SMA_L4.4-W2.8-LS5.4-R-RD",154.030000,-74.970000,0.000000,top
"D3","SS54_C22452","SMA_L4.4-W2.8-LS5.4-R-RD",169.128000,-115.686400,180.000000,top
"D4","SS54_C22452","SMA_L4.4-W2.8-LS5.4-R-RD",117.593600,-115.686400,0.000000,top
"J1","DEBUG_CONN_PAD","PinHeader_1x03_P2.54mm_Vertical",127.866000,-120.518000,180.000000,top
"J2","Mtype_Select","PinHeader_1x02_P2.54mm_Vertical",161.470000,-79.450000,0.000000,top
"J3","Mtype_Select","PinHeader_1x02_P2.54mm_Vertical",161.497600,-111.321600,180.000000,top
"J4","Mtype_Select","PinHeader_1x02_P2.54mm_Vertical",125.368400,-79.296400,0.000000,top
"J5","Mtype_Select","PinHeader_1x02_P2.54mm_Vertical",123.750400,-118.195200,0.000000,top
"J6","1N5819","PinHeader_1x02_P2.54mm_Vertical",157.308000,-86.676000,-90.000000,top
"J7","Power_Pad","PinHeader_1x02_P2.54mm_Vertical",154.780000,-82.880000,90.000000,top
"J8","GPIO[18-22]","PinHeader_1x05_P2.54mm_Vertical",131.445000,-120.523000,90.000000,top
"J9","GPIO[23,24,27,28,29]","PinHeader_1x03_P2.54mm_Vertical",145.161000,-120.523000,90.000000,top
"L2","AOTA-B201610S3R3-101-T","IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T",149.047200,-113.690400,-90.000000,top
